Name,Location Note,Email,Phone,City,ST,Acids,Asphalt,Chemicals (Dry),Chemicals (Liq),Foods (Dry),Foods (Liq),Frac Sand,Lumber,Minerals,Petroleum Products,Plastics (Dry),Steel,Air Compressor,Auger,Blending Meters,Blower,Bulk Conveyor,Gravity (Trestle),Hot Water Heating,Liquid Pumps,Liquid Storage Tanks,Portable Vacuum,Sampling Services,Scale,Steam Heating,Tank Trailer Cleaning,Railcar Storage,Website,Website Flag,Tier,Source,Maps Status,Confidence
A-1 Inventory Management,,,,UMATILLA,OR,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://www.a1invmang.com/,,listed,rebulk-directory (UP),,
A. Anastasio & Sons Trucking Rail Reload,,,,NEW HAVEN,CT,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://anastasiotrucking.com/,,listed,rebulk-directory (CSX),,
ABDW Logistics,,,,KENOSHA,WI,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://shipabdw.com/,,listed,rebulk-directory (CPKC),,
Aberdeen & Rockfish Raeford Transload,,,,RAEFORD,NC,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://aberdeen-rockfish.com/freight-services/,,listed,rebulk-directory (Aberdeen & Rockfish Railroad (AR)),,
Aberdeen Carolina & Western Railway,,info@acwr.com,(910) 974-4219,CANDOR,NC,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,unknown,http://www.acwr.com/,,verified,swl-internal,OPERATIONAL,high
AC&J Carson Transload,,,,CARSON,OH,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://wp.acjrailroad.com/,,listed,"rebulk-directory (Ashtabula, Carson & Jefferson Railroad (ACJR))",,
AC&J Jefferson Transload,,,,JEFFERSON,OH,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://wp.acjrailroad.com/,,listed,"rebulk-directory (Ashtabula, Carson & Jefferson Railroad (ACJR))",,
Access World USA Baltimore,,,,BALTIMORE,MD,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://www.accessworld.com/locations/north-america/,,listed,rebulk-directory (Tradepoint Rail (TPR) CSX NS),,
Access World Usa LLC,,,,NEW ORLEANS,LA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,,,listed,rebulk-directory (BNSF),,
Access World Usa LLC,,,,BAYTOWN,TX,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,,,listed,rebulk-directory (BNSF),,
Ace Warehouse & Logistics,,info@acewlt.com,,MIAMI,FL,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,unknown,http://www.acewlt.com/,,verified,swl-internal,NOT_FOUND,low
Ace Warehouse & Logistics,,info@acewlt.com,(732) 248-1515,BURLINGTON,NJ,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,unknown,http://www.aceworldclass.com/,,verified,swl-internal,OPERATIONAL,medium
Ace Warehouse & Logistics,,info@acewlt.com,,CHESTER,PA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,unknown,http://www.acewlt.com/,,verified,swl-internal,NOT_FOUND,low
Ace Warehouse & Logistics,,info@acewlt.com,,CORNWELLS HEIGHTS,PA,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,unknown,http://www.acewlt.com/,,verified,swl-internal,NOT_FOUND,none
ACME Distribution Center,Rail-Served Warehouse,,,AURORA,CO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://acmedistribution.com/,,listed,rebulk-directory (UP),,
ACWR Transload/Megawood,Megawood Transload Yard and Storage,,,MT GILEAD,NC,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://www.acwr.com/transloading/,,listed,rebulk-directory (Aberdeen Carolina & Western Railway (ACWR)),,
Adams Brothers,,,,ZANESVILLE,OH,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://www.adamsbrosconcrete.com/,,listed,rebulk-directory (CUOH G&W),,
Adams Industries,,sales@adamsii.com,(800) 525-6958,SIDNEY,NE,NO,NO,YES,NO,YES,NO,YES,NO,YES,NO,NO,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,unknown,http://www.adamsii.com/,,verified,swl-internal,OPERATIONAL,high
Addington Properties,,,,ELIZABETHTOWN,KY,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,,,listed,rebulk-directory (PAL),,
ADM Riverport Memphis,,,,MEMPHIS,TN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://www.adm.com/,,listed,rebulk-directory (CN),,
ADM Terminal Service,,john.dougherty@adm.com,(563) 259-9559,CAMANCHE,IA,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,unknown,https://www.adm.com/products-services/adm-logistics/terminal-services/camanche,dead_link,verified,swl-internal,OPERATIONAL,medium
ADM Terminal Service,,john.dougherty@adm.com,,CLINTON,IA,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,unknown,https://www.adm.com/products-services/adm-logistics/terminal-services/clinton,dead_link,verified,swl-internal,NOT_FOUND,low
ADM Terminal Service,,pat.henry@adm.com,,MARSEILLES,IL,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,unknown,https://www.adm.com/products-services/adm-logistics/terminal-services/ottawa,dead_link,verified,swl-internal,NOT_FOUND,low
ADM Terminal Service,,brett.madison@adm.com,,PEORIA,IL,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,unknown,https://www.adm.com/products-services/adm-logistics/terminal-services/crevecoeur,dead_link,verified,swl-internal,NOT_FOUND,low
ADM Terminal Service,,matthew.strokebrand@adm.com,(812) 424-3581,EVANSVILLE,IN,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,unknown,https://admadvantage.com/contact-us/?location=Evansville~Indiana,,verified,swl-internal,OPERATIONAL,medium
ADP Express Compton Transload,,,,COMPTON,CA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,,,listed,rebulk-directory (BNSF UP),,
Adrian & Blissfield Railroad Adrian Transload,,,,ADRIAN,MI,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,https://abrailroad.com/railroads/adbf/,,listed,rebulk-directory (Adrian and Blissfield Railroad (ADBF)),,
Advanced Logistics & Distribution,,sales@advancedlogistics.com,(916) 920-9200,MCCLELLAN PARK,CA,NO,NO,NO,NO,YES,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,unknown,https://advancedlogistics.com/,,verified,swl-internal,OPERATIONAL,high
Advanced Logistics & Distribution,,sales@advancedlogistics.com,(916) 920-9200,ROGERS,CA,NO,NO,NO,NO,YES,YES,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,unknown,https://advancedlogistics.com/,,verified,swl-internal,OPERATIONAL,high
Affton Terminal Services,,info@afftontrucking.com,,KANSAS CITY,MO,NO,NO,YES,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,unknown,http://www.afftontrucking.com/,,verified,swl-internal,NOT_FOUND,low
