City,City.1,State/Province,Country,Latitude,Longitude,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
PEKIN,Pekin,IL,,40.567538,-89.640659,,,,,,,
WAPAKONETA,Wapakoneta,OH,,40.567,-84.19244,,,,,,,
LEDUC,Leduc,AB,,53.264,-113.55,,,,,,,
GALENA PARK,Galena Park,TX,,29.73356,-95.23382,,,,,,,
BEDFORD QUARRY,Bedford Quarry,NS,,44.725,-63.65,,,,,,,
DARTMOUTH,Dartmouth,NS,,44.67134,-63.57719,,,,,,,
PASADENA,Pasadena,TX,,29.691063,-95.2091,,,,,,,
SAINT PAUL,Saint Paul,MN,,44.953703,-93.089958,,,,,,,
AMBRIDGE,Ambridge,PA,,40.58923,-80.22534,,,,,,,
BROOKLYN,Brooklyn,NY,,40.678178,-73.944158,,,,,,,
VENUS,Venus,TX,,32.43514,-97.10251,,,,,,,
KENTON,Kenton,OH,,40.64672,-83.60909,,,,,,,
STONY RIDGE,Stony Ridge,OH,,41.51144,-83.51021,,,,,,,
TOLEDO,Toledo,OH,,41.652805,-83.537867,,,,,,,
WALBRIDGE,Walbridge,OH,,41.58894,-83.48882,,,,,,,
ANTIOCH,Antioch,CA,,38.004921,-121.805789,,,,,,,
KANSAS CITY,Kansas City,MO,,39.099727,-94.578567,,,,,,,
PEMBROKE,Pembroke,GA,,32.13604,-81.62235,,,,,,,
PORTSMOUTH,Portsmouth,VA,,36.835425,-76.298274,,,,,,,
ASHCROFT,Ashcroft,BC,,50.725,-121.282778,,,,,,,
SPARWOOD,Sparwood,BC,,49.733333,-114.883333,,,,,,,
EDMONTON,Edmonton,AB,,53.546125,-113.493823,,,,,,,
FT SASKATCHEWAN,Ft Saskatchewan,AB,,53.7125,-113.213611,,,,,,,
DALLAS MILLER YARD,Dallas Miller Yard,TX,,32.776665,-96.796989,,,,,,,
CHILLIWACK,Chilliwack,BC,,49.15794,-121.95147,,,,,,,
VERMILION BAY,Vermilion Bay,ON,,49.85,-93.35,,,,,,,
KAMLOOPS,Kamloops,BC,,50.674522,-120.327267,,,,,,,
PORTLAND,Portland,OR,,45.515232,-122.678385,,,,,,,
TACOMA,Tacoma,WA,,47.252877,-122.444291,,,,,,,
PORT COQUITLAM,Port Coquitlam,BC,,49.2625,-122.781111,,,,,,,
PORT COQUITLAM,Port Coquitlam,BC,,49.2625,-122.781111,,,,,,,
HENDERSON,Henderson,NV,,36.039525,-114.981721,,,,,,,
SHERWOOD PARK,Sherwood Park,AB,,53.516667,-113.318333,,,,,,,
SASKATOON TFR,Saskatoon TFR,SK,,52.133333,-106.683333,,,,,,,
CALGARY,Calgary,AB,,51.044733,-114.071883,,,,,,,
CALGARY,Calgary,AB,,51.044733,-114.071883,,,,,,,
JOSEPHBURG,Josephburg,AB,,53.65,-113.1,,,,,,,
SCOTFORD,Scotford,AB,,53.7,-113.2,,,,,,,
INDIANAPOLIS,Indianapolis,IN,,39.768403,-86.158068,,,,,,,
ODON,Odon,IN,,38.84227,-86.99334,,,,,,,
WINSTON-SALEM,Winston-Salem,NC,,36.099861,-80.244217,,,,,,,
OAKWOOD,Oakwood,GA,,34.22704,-83.88462,,,,,,,
SANFORD,Sanford,NC,,35.479875,-79.180299,,,,,,,
ELK GROVE VILLAGE,Elk Grove Village,IL,,42.003917,-87.970346,,,,,,,
SANDERSVILLE,Sandersville,GA,,32.98154,-82.81097,,,,,,,
SYLACUAGA,Sylacauga,AL,,33.17318,-86.25108,,,,,,,
TALLADEGA,Talladega,AL,,33.43594,-86.1058,,,,,,,
MORRISVILLE,Morrisville,PA,,40.2115,-74.78738,,,,,,,
BILLINGS,Billings,MT,,45.783286,-108.50069,,,,,,,
ROSS,Ross,ND,,48.31362,-102.54601,,,,,,,
BURLINGTON,Burlington,VT,,44.475882,-73.212072,,,,,,,
TULSA,Tulsa,OK,,36.153982,-95.992775,,,,,,,
PANAMA CITY,Panama City,FL,,30.158813,-85.660206,,,,,,,
CINCINNATI,Cincinnati,OH,,39.103118,-84.51202,,,,,,,
PORT OF STOCKTON,Port of Stockton,CA,,37.9587,-121.29078,,,,,,,
WHEATLAND,Wheatland,PA,,41.20089,-80.49702,,,,,,,
SHOSHONI,Shoshoni,WY,,43.23496,-108.11038,,,,,,,
ODESSA,Odessa,TX,,31.845682,-102.367645,,,,,,,
ANTHONY,Anthony,TX,,31.99454,-106.59249,,,,,,,
ASHLEY,Ashley,TX,,30.08017,-94.12604,,,,,,,
SILLS,Sills,NY,,40.712776,-74.005974,,,,,,,
NORTH LITTLE ROCK,North Little Rock,AR,,34.769536,-92.267094,,,,,,,
BLOOMINGTON,Bloomington,MN,,44.840798,-93.29828,,,,,,,
GOSHEN,Goshen,IN,,41.58227,-85.83444,,,,,,,
FOSTORIA,Fostoria,OH,,41.15672,-83.41604,,,,,,,
COLUMBIANA,Columbiana,OH,,40.88867,-80.69313,,,,,,,
MONAHANS,Monahans,TX,,31.59404,-102.89238,,,,,,,
SEAGRAVES,Seagraves,TX,,32.94454,-102.56435,,,,,,,
LINCOLN,Lincoln,AL,,33.59594,-86.11886,,,,,,,
LITTLE ROCK,Little Rock,AR,,34.746481,-92.289595,,,,,,,
BUCKEYE,Buckeye,AZ,,33.37032,-112.58378,,,,,,,
NORTH PORTLAND,North Portland,OR,,45.58329,-122.72274,,,,,,,
STOCKTON,Stockton,CA,,37.957702,-121.29078,,,,,,,
AHORCADO,Ahorcado,QA,,25.286667,51.533333,,,,,,,
ATITALAQUIA,Atitalaquia,HG,,20.083333,-99.216667,,,,,,,
GUADALAJARA,Guadalajara,JA,,20.659698,-103.349609,,,,,,,
HERMOSILLO,Hermosillo,SO,,29.072967,-110.955919,,,,,,,
MACLOVIO HERRERA,Maclovio Herrera,EM,,19.35869,-99.20329,,,,,,,
MEXICALI,Mexicali,BJ,,32.651944,-115.468333,,,,,,,
QUERETARO,Queretaro,QA,,20.588793,-100.389888,,,,,,,
SALINAS VICTORIA,Salinas Victoria,NL,,25.95,-100.283333,,,,,,,
SAN LUIS POTOSI,San Luis Potosi,SL,,22.156469,-100.98554,,,,,,,
SAN PEDRO GARZA GARCIA,San Pedro Garza Garcia,NL,,25.666667,-100.4,,,,,,,
TLALNEPANTLA,Tlalnepantla,EM,,19.53928,-99.1951,,,,,,,
TOLUCA,Toluca,EM,,19.282609,-99.655665,,,,,,,
TULA,Tula,HG,,20.0525,-99.3435,,,,,,,
VILLA DE GARCIA,Villa de Garcia,NL,,25.811,-100.595,,,,,,,
BELPRE,Belpre,OH,,39.27341,-81.57262,,,,,,,
BETHLEHEM,Bethlehem,PA,,40.625932,-75.370458,,,,,,,
BRONX,Bronx,NY,,40.844782,-73.864827,,,,,,,
BUSCH,Busch,FL,,28.03361,-82.44972,,,,,,,
CHICAGO HEIGHTS,Chicago Heights,IL,,41.506146,-87.6356,,,,,,,
COUNCIL BLUFFS,Council Bluffs,IA,,41.261944,-95.860833,,,,,,,
FORT WORTH,Fort Worth,TX,,32.755488,-97.330766,,,,,,,
HODGKINS,Hodgkins,IL,,41.76892,-87.87617,,,,,,,
LAFAYETTE,Lafayette,IN,,40.416702,-86.875287,,,,,,,
MORRISVILLE,Morrisville,PA,,40.2115,-74.78738,,,,,,,
NORTH BERGEN,North Bergen,NJ,,40.804267,-74.012084,,,,,,,
PATERSON,Paterson,NJ,,40.916765,-74.171811,,,,,,,
PHILADELPHIA,Philadelphia,PA,,39.952583,-75.165222,,,,,,,
WILLIAMSPORT,Williamsport,PA,,41.241189,-77.001078,,,,,,,
BURLINGTON,Burlington,IA,,40.807539,-91.112923,,,,,,,
LE MARS,Le Mars,IA,,42.7947,-96.16558,,,,,,,
VALLEY PARK,Valley Park,MO,,38.54922,-90.49262,,,,,,,
SHREVEPORT,Shreveport,LA,,32.525152,-93.750179,,,,,,,
COTULLA,Cotulla,TX,,28.43694,-99.23533,,,,,,,
JACKSONVILLE,Jacksonville,FL,,30.332184,-81.655651,,,,,,,
BRANDON,Brandon,MB,,49.84692,-99.95306,,,,,,,
HORNBY,Hornby,ON,,43.55,-79.85,,,,,,,
KAMLOOPS,Kamloops,BC,,50.674522,-120.327267,,,,,,,
SWEETWATER,Sweetwater,TX,,32.47093,-100.40593,,,,,,,
SWEETWATER,Sweetwater,TX,,32.47093,-100.40593,,,,,,,
CONCORD,Concord,ON,,43.8,-79.5,,,,,,,
BLOOMINGTON,Bloomington,MN,,44.840798,-93.29828,,,,,,,
CANNON FALLS,Cannon Falls,MN,,44.50691,-92.90548,,,,,,,
CENTERVILLE,Centerville,IA,,40.72917,-92.87408,,,,,,,
ELK GROVE VILLAGE,Elk Grove Village,IL,,42.003917,-87.970346,,,,,,,
EMERY,Emery,IA,,43.3,-96.5,,,,,,,
GASTONIA,Gastonia,NC,,35.26208,-81.1873,,,,,,,
LAKEVILLE,Lakeville,MN,,44.64969,-93.24272,,,,,,,
MASON CITY,Mason City,IA,,43.153572,-93.201037,,,,,,,
MORAVIA,Moravia,IA,,40.89834,-92.81547,,,,,,,
NORMA,Norma,WI,,44.5,-89.5,,,,,,,
RANDOLPH,Randolph,MN,,44.52663,-93.01047,,,,,,,
ST LOUIS,St. Louis,MO,,38.627003,-90.199404,,,,,,,
UNION,Union,MO,,38.45033,-91.00848,,,,,,,
WADESBORO,Wadesboro,NC,,34.96849,-80.07339,,,,,,,
ARGO,Argo,IL,,41.78892,-87.80561,,,,,,,
CLEBURNE,Cleburne,TX,,32.347643,-97.386683,,,,,,,
FRANKLIN PARK,Franklin Park,IL,,41.93531,-87.86534,,,,,,,
GRAND PRAIRE,Grand Prairie,TX,,32.745964,-96.997785,,,,,,,
GRIFFIN,Griffin,FL,,28.06667,-81.96667,,,,,,,
MEMPHIS,Memphis,TN,,35.149534,-90.04898,,,,,,,
MOCKINGBIRD,Mockingbird,TX,,32.7338,-96.9985,,,,,,,
OAKLAND,Oakland,NJ,,41.01371,-74.23709,,,,,,,
ORLANDO,Orlando,FL,,28.538336,-81.379234,,,,,,,
CHEHALIS,Chehalis,WA,,46.66253,-122.96402,,,,,,,
COLTON,Colton,CA,,34.0739,-117.3137,,,,,,,
JUNCTON CITY,Junction City,OR,,44.21929,-123.20454,,,,,,,
SALEM,Salem,OR,,44.942898,-123.035096,,,,,,,
GRANITE CITY,Granite City,IL,,38.701436,-90.14872,,,,,,,
HASTINGS,Hastings,NE,,40.58626,-98.38987,,,,,,,
CHAMBERSBURG,Chambersburg,PA,,39.937592,-77.661103,,,,,,,
EAST MODESTO,East Modesto,CA,,37.639097,-120.996878,,,,,,,
MODESTO,Modesto,CA,,37.639097,-120.996878,,,,,,,
NORTH BEND,North Bend,NE,,41.46278,-96.78947,,,,,,,
SAINT EDWARD,Saint Edward,NE,,41.57001,-97.86033,,,,,,,
ENID,Enid,OK,,36.395589,-97.878391,,,,,,,
SHATTUCK,Shattuck,OK,,36.27087,-99.87845,,,,,,,
SAVANNAH,Savannah,GA,,32.080899,-81.091203,,,,,,,
STOCKTON,Stockton,CA,,37.957702,-121.29078,,,,,,,
BAY CITY,Bay City,TX,,28.982876,-95.969402,,,,,,,
ESSINGTON,Essington,PA,,39.86317,-75.29768,,,,,,,
GREENVILLE,Greenville,SC,,34.852619,-82.39401,,,,,,,
LA PORTE,La Porte,IN,,41.611145,-86.715836,,,,,,,
SPENCE,Spence,TX,,32.735687,-97.108066,,,,,,,
WITCO,Witco,TX,,31.117119,-97.727796,,,,,,,
LUBBOCK,Lubbock,TX,,33.577863,-101.855166,,,,,,,
NAVASOTA,Navasota,TX,,30.387707,-96.087739,,,,,,,
SLATON,Slaton,TX,,33.437315,-101.641548,,,,,,,
SAN ANTONIO,San Antonio,TX,,29.424122,-98.493629,,,,,,,
CINCINNATI,Cincinnati,OH,,39.103119,-84.512016,,,,,,,
NORTH FLINT,North Flint,MI,,43.012527,-83.687456,,,,,,,
PALMER,Palmer,MA,,42.158428,-72.32814,,,,,,,
MISSISSAUGA,Mississauga,ON,,43.589045,-79.64412,,,,,,,
SARNIA,Sarnia,ON,,42.974536,-82.40659,,,,,,,
ASHCROFT,Ashcroft,BC,,50.725,-121.282778,,,,,,,
ATIKOKAN,Atikokan,ON,,48.758333,-91.621111,,,,,,,
BIENFAIT,Bienfait,SK,,49.148611,-102.818056,,,,,,,
CALGARY,Calgary,AB,,51.044733,-114.071883,,,,,,,
CONCORD,Concord,ON,,43.8,-79.5,,,,,,,
DETROIT,Detroit,MI,,42.331427,-83.045754,,,,,,,
EDMONTON,Edmonton,AB,,53.546125,-113.493823,,,,,,,
EDMUNSTON,Edmundston,NB,,47.373611,-68.325,,,,,,,
EDSON,Edson,AB,,53.581944,-116.434167,,,,,,,
FLAT ROCK,Flat Rock,MI,,42.09615,-83.29104,,,,,,,
HAMILTON,Hamilton,ON,,43.255721,-79.871102,,,,,,,
HARVEY,Harvey,IL,,41.610034,-87.646713,,,,,,,
LONDON EAST,London East,ON,,42.98324,-81.24337,,,,,,,
MARKHAM,Markham,IL,,41.593644,-87.694491,,,,,,,
MEMPHIS,Memphis,TN,,35.149534,-90.04898,,,,,,,
MONCTON,Moncton,NB,,46.087817,-64.778231,,,,,,,
MONTREAL TASCH YARD,Montreal Tasch Yard,QC,,45.501689,-73.567256,,,,,,,
NEW WESTMINSTER,New Westminster,BC,,49.205717,-122.910956,,,,,,,
NORTH BATTELFORD,North Battleford,SK,,52.7575,-108.286111,,,,,,,
NORTH VANCOUVER,North Vancouver,BC,,49.32,-123.072,,,,,,,
PRINCE GEORGE,Prince George,BC,,53.917064,-122.749669,,,,,,,
SAINT JOHN,Saint John,NB,,45.273315,-66.063308,,,,,,,
SAINT-LAURENT,Saint-Laurent,QC,,45.5,-73.666667,,,,,,,
SASKATOON,Saskatoon,SK,,52.1579,-106.67,,,,,,,
SCOTFORD,Scotford,AB,,53.7,-113.2,,,,,,,
SURREY,Surrey,BC,,49.104431,-122.801094,,,,,,,
VANCOUVER,Vancouver,BC,,49.282729,-123.120738,,,,,,,
VICKERS HEIGHTS,Vickers Heights,ON,,48.3717,-89.3216,,,,,,,
WARREN,Warren,MI,,42.514456,-83.014652,,,,,,,
WILLMAR,Willmar,SK,,50.283333,-102.516667,,,,,,,
WINNIPEG,Winnipeg,MB,,49.895138,-97.138374,,,,,,,
WOODNORTH,Woodnorth,MB,,49.7,-100.966667,,,,,,,
EDMONTON,Edmonton,AB,,53.546125,-113.493823,,,,  ,,,
MATANE,Matane,QC,,48.85,-67.533333,,,,,,,
SURREY,Surrey,BC,,49.104431,-122.801094,,,, , , , 
NEW ORLEANS,New Orleans,LA,,29.951065,-90.071533,,,, , , , 
MONTREAL,Montreal,QC,,45.501689,-73.567256,,,, , , , 
QUEBEC,Quebec,QC,,46.813878,-71.207981,,,, , , , 
CALGARY,Calgary,AB,,51.044733,-114.071883,,,,,,,
EDMONTON,Edmonton,AB,,53.546125,-113.493823,,,, ,,,
ELK GROVE VILLAGE,Elk Grove Village,IL,,42.003918,-87.970346,,,,,,,
GUELPH,Guelph,ON,,43.544805,-80.248167,,,,,,,
RED DEER,Red Deer,AB,,52.268112,-113.811238,,,,,,,
REGINA,Regina,SK,,50.445211,-104.618894,,,,,,,
SASKATOON,Saskatoon,SK,,52.1579,-106.67,,,,,,,
VAUDREUIL-DORION,Vaudreuil-Dorion,QC,,45.4,-74.033333,,,,,,,
WINNIPEG,Winnipeg,MB,,49.895138,-97.138374,,,,,,,
CONCORD,Concord,ON,,43.8,-79.5,,,,,,,
MEMPHIS,Memphis,TN,,35.149534,-90.04898,,,,,,,
STE-FOY,Ste-Foy,QC,,46.78,-71.28,,,,,,,
CONCORD,Concord,ON,,43.8,-79.5,,,,,,,
BROCKVILLE,Brockville,ON,,44.591999,-75.68713,,,,,,,
HAMILTON,Hamilton,ON,,43.255721,-79.871102,,,,,,,
SASKATOON,Saskatoon,SK,,52.1579,-106.67,,,,,,,
WAXAHACHIE,Waxahachie,TX,,32.386531,-96.848331,,,,,,,
SAVANNAH,Savannah,GA,,32.080899,-81.091203,,,,,,,
WILMINGTON,Wilmington,NC,,34.2257,-77.9447,,,,,,,
COLUMBIA GARDENS,Columbia Gardens,BC,,49.116667,-117.716667,,,,,,,
CELAYA,Celaya,GJ,,20.523889,-100.815,,,,,,,
CIUDAD GENERAL ESCOBEDO,Ciudad General Escobedo,NL,,25.7951,-100.317,,,,,,,
OJO SECO,Ojo Seco,GJ,,20.383333,-101,,,,,,,
SAN LUIS POTOSI,San Luis Potosí,SL,,22.1565,-100.9855,,,,,,,
ALTAMIRA,Altamira,TM,,22.3929,-97.9236,,,,,,,
SQUAMISH,Squamish,BC,,49.7016,-123.1558,,,,,,,
ALIQUIPPA,Aliquippa,PA,,40.6159,-80.2601,,,,,,,
ALIQUIPPA,Aliquippa,PA,,40.6159,-80.2601,,,,,,,
BARTON,Barton,VT,,44.7487,-72.1751,,,,,,,
LYNDONVILLE,Lyndonville,VT,,44.5356,-72.004,,,,,,,
SUPERIOR EAST END,Superior East End,WI,,46.7208,-92.0663,,,,,,,
BINGHAMTON,Binghamton,NY,,42.0987,-75.918,,,,,,,
EDGEMOOR,Edgemoor,DE,,39.7587,-75.4991,,,,,,,
EDISON,Edison,NJ,,40.5187,-74.4121,,,,,,,
ELKTON,Elkton,MD,,39.6068,-75.8333,,,,,,,
WORCHESTER,Worcester,MA,,42.2626,-71.8023,,,,,,,
WEST SPRINGFIELD,West Springfield,MA,,42.107,-72.6204,,,,,,,
WESTFIELD,Westfield,MA,,42.1251,-72.7495,,,,,,,
EAST ST LOUIS,East St. Louis,MO,,38.6245,-90.1505,,,,,,,
MINNEAPOLIS,Minneapolis,MN,,44.9778,-93.265,,,,,,,
PANAMA CITY,Panama City,FL,,30.1588,-85.6602,,,,,,,
VILLA DE REYAS,Villa de Reyes,SL,,21.8033,-100.9317,,,,,,,
GREEN BAY,Green Bay,WI,,44.5192,-88.0198,,,,,,,
RIPON,Ripon,WI,,43.8422,-88.8387,,,,,,,
CLEARFIELD,Clearfield,UT,,41.1108,-112.026,,,,,,,
LATHROP,Lathrop,CA,,37.8226,-121.2761,,,,,,,
MAYWOOD,Maywood,CA,,33.9867,-118.1853,,,,,,,
OGDEN,Ogden,UT,,41.223,-111.9738,,,,,,,
PHOENIX,Phoenix,AZ,,33.4484,-112.074,,,,,,,
RIVERSIDE,Riverside,CA,,33.9806,-117.3755,,,,,,,
SCAPPOOSE,Scappoose,OR,,45.7543,-122.8776,,,,,,,
SEATTLE,Seattle,WA,,47.6062,-122.3321,,,,,,,
TACOMA,Tacoma,WA,,47.2529,-122.4443,,,,,,,
VALLA,Valla,CA,,36.7783,-119.4179,,,,,,,
VANCOUVER,Vancouver,WA,,45.6387,-122.6615,,,,,,,
BENSENVILLE,Bensenville,IL,,41.955,-87.9401,,,,,,,
CHICAGO,Chicago,IL,,41.8781,-87.6298,,,,,,,
KANSAS CITY,Kansas City,MO,,39.0997,-94.5786,,,,,,,
SHOREHAM TFR,Shoreham,MN,,46.8739,-96.7678,,,,,,,
STEVENS POINT,Stevens Point,WI,,44.5236,-89.5746,,,,,,,
MORTON,Morton,IL,,40.6128,-89.459,,,,,,,
APODACA,Apodaca,NL,,25.78,-100.1889,,,,,,,
ATEQUIZA,Atequiza,JA,,20.4167,-103.1833,,,,,,,
ECATEPEC,Ecatepec,EM,,19.6018,-99.0507,,,,,,,
MONTERREY,Monterrey,NL,,25.6866,-100.3161,,,,,,,
PAULA,Paula,HG,,20.1167,-98.7333,,,,,,,
SALAMANCA,Salamanca,GJ,,20.5701,-101.1917,,,,,,,
SAN NICHOLAS DE LOS GARZA,San Nicolás de los Garza,NL,,25.749,-100.2896,,,,,,,
TULA DE ALLENDE,Tula de Allende,HG,,20.0522,-99.3439,,,,,,,
TUXPAN,Tuxpan,VL,,20.957,-97.4075,,,,,,,
VILLA DE GARCIA,Villa de García,NL,,25.8106,-100.5947,,,,,,,
PHOENIX,Phoenix,AZ,,33.448376,-112.074036,,,,,,,
PORTLAND,Portland,OR,,45.515232,-122.678385,,,,,,,
CHANNAHON,Channahon,IL,,41.4292,-88.2284,,,,,,,
COAL CITY,Coal City,IL,,41.2881,-88.2823,,,,,,,
OLD HICKORY,Old Hickory,TN,,36.2595,-86.6444,,,,,,,
KATHLEEN,Kathleen,GA,,32.4785,-83.6771,,,,,,,
MACON,Macon,GA,,32.8407,-83.6324,,,,,,,
WEST UPTON,West Upton,MA,,42.1701,-71.6145,,,,,,,
CHICAGO,Chicago,IL,,41.878113,-87.629799,,,,,,,
PORTLAND,Portland,OR,,45.515232,-122.678385,,,,,,,
BAINBRIDGE,Bainbridge,GA,,30.9038,-84.5755,,,,,,,
DULUTH,Duluth,MN,,46.7867,-92.1005,,,,,,,
SUPERIOR,Superior,WI,,46.7208,-92.1041,,,,,,,
PASCO,Pasco,WA,,46.2396,-119.1006,,,,,,,
FUQUAY VARINA,Fuquay-Varina,NC,,35.5843,-78.8,,,,,,,
MEMPHIS,Memphis,TN,,35.1495,-90.049,,,,,,,
SYLACUAGA,Sylacauga,AL,,33.1732,-86.2511,,, ,,,,
MONMOUTH JUNCTION,Monmouth Junction,NJ,,40.3801,-74.5435,,,,,,,
WINCHESTER,Winchester,VA,,39.1857,-78.1633,,, , , , ,
WINCHESTER,Horseheads,NY,,42.167,-76.8205,,,  , , , ,
HORSEHEADS,Horseheads,NY,,42.167,-76.8205,,, , , , ,
HUDSON,Hudson,CO,,40.0733,-104.6383,,, , , , ,
MCCLELLAN PARK,McClellan Park,CA,,38.6672,-121.4011,,, , , , ,
HAMMOND,Hammond,IN,,41.5834,-87.5,,, , , , ,
PASCO,Pasco,WA,,46.23958,-119.10057,,,,,,,
VELOX,Velox,WA,,47.7511,-120.7401,,, ,,,,
BELVIDERE,Belvidere,IL,,42.2639,-88.8443,,,,,,,
APODACA,Apodaca,NL,,25.78,-100.1889,,,,,,,
BLUE ISLAND,Blue Island,IL,,41.6573,-87.6801,,,,,,,
BUREAU JCT,Bureau Junction,IL,,41.2892,-89.3662,,,,,,,
COUNCIL BLUFFS,Council Bluffs,IA,,41.261944,-95.860833,,,,,,,
SANTA TERESA,Santa Teresa,NM,,31.857778,-106.639167,,,,,,,
JOPLIN,Joplin,MO,,37.084227,-94.513281,,,,,,,
S CHICAGO EAST SIDE,South Chicago,IL,,41.739683,-87.55496,,,,,,,
NEW ORLEANS,New Orleans,LA,,29.951065,-90.071533,,,,,,,
MAYWOOD,Maywood,CA,,33.98668,-118.18535,,,,,,,
FARNHAM,Farnham,QC,,45.283333,-72.983333,,,,,,,
HAMILTON,Hamilton,ON,,43.255721,-79.871102,,,,,,,
WOODSTOCK,Woodstock,ON,,43.131496,-80.747165,,,,,,,
FAIRLESS HILLS,Fairless Hills,PA,,40.179001,-74.855438,,,,,,,
NORWOOD,Norwood,NY,,44.7445,-74.9999,,,,,,,
HAWARDEN,Hawarden,IA,,43.001374,-96.483085,,,,,,,
KANSAS CITY,Kansas City,KS,,39.114053,-94.627464,,,,,,,
ORTONVILLE,Ortonville,MN,,45.30413,-96.43922,,,,,,,
SIOUX CITY,Sioux City,IA,,42.499994,-96.400307,,,,,,,
CARR,Carr,CO,,40.89137,-104.91219,,,,,,,
HENDERSON,Henderson,CO,,39.92137,-104.87081,,,,,,,
TAYLORSVILLE,Taylorsville,NC,,35.92124,-81.17648,,,,,,,
PARKER,Parker,AZ,,34.15002,-114.28901,,,,,,,
BAINBRIDGE,Bainbridge,GA,,30.9038,-84.5755,,,,,,,
BALTIMORE,Baltimore,MD,,39.290385,-76.612189,,,,,,,
KANSAS CITY,Kansas City,MO,,39.099727,-94.578567,,,,,,,
CALMAR,Calmar,AB,,53.2668,-113.787,,,,,,,
LEDUC COUNTY,Leduc County,AB,,53.25,-113,,,,,,,
CONOVER,Conover,NC,,35.7068,-81.2187,,,,,,,
STREATOR,Streator,IL,,41.120033,-88.835629,,,,,,,
LIMA,Lima,OH,,40.742551,-84.105225,,,,,,,
