City,State,Latitude,Longitude
CASPER,WY,42.84212,-106.321282
CASSELTON,ND,46.896365,-97.212604
CAÑON CITY,CO,38.441886,-105.220899
CEDAR CITY,UT,37.683818,-113.09554
CEDAR FALLS,IA,42.51907,-92.454009
CEDAR KNOLLS,NJ,40.818911,-74.455194
CEDAR RAPIDS,IA,41.96419,-91.67917
CENTRAL POINT,OR,42.376451,-122.910482
CEREDO,WV,38.3957,-82.548424
CHALMETTE,LA,29.944015,-89.966005
CHANDLER,OK,35.712784,-96.836198
CHANNELVIEW,TX,29.793023,-95.114482
CHAPIN,SC,34.16525,-81.339342
CHARLESTOWN,NH,43.235548,-72.422511
CHARLOTTE,MI,42.566202,-84.831839
CHATTAHOOCHEE,FL,30.698344,-84.83061
CHESTER,SC,34.705023,-81.21322
CHEYENNE,WY,41.128702,-104.790778
CHICKASAW,AL,30.77145,-88.079697
CHILLICOTHE,MO,39.796079,-93.549957
CHIPLEY,FL,30.775644,-85.54005
CLARKSVILLE,MO,39.369502,-90.904896
CLAXTON,GA,32.162075,-81.909659
CLAYSBURG,PA,40.291448,-78.451419
CLAYTON,IA,42.902269,-91.149305
CLEARFIELD,PA,41.021498,-78.439398
CLEMMONS,NC,36.033223,-80.386699
CLEVELAND,TX,30.338215,-95.090283
CLIFTON FORGE,VA,37.82332,-79.825194
CLINTON,TN,36.097338,-84.128945
COAL TOWNSHIP,PA,40.775274,-76.517131
COLBY,KS,39.384564,-101.044978
COLDWATER,MI,41.94601,-84.999302
COLUMBIA,MO,38.94729,-92.326387
COLUMBIA,PA,40.034855,-76.495889
COLUMBIA,TN,35.625616,-87.044232
COLUMBUS,IN,39.208684,-85.919059
COMANCHE,TX,31.900484,-98.604364
COMBINED LOCKS,WI,44.261995,-88.309534
COMPTON,CA,33.894047,-118.227469
COMSTOCK PARK,MI,43.04412,-85.676323
CONESVILLE,OH,40.185136,-81.892029
CONNEAUT,OH,41.927299,-80.568382
CONVENT,LA,30.015211,-90.820234
COOPERS PLAINS (PAINTED POST),NY,42.179345,-77.137523
CORDELE,GA,31.95609,-83.770077
CORPUS CHRISTI,TX,27.754252,-97.173385
CORTLAND,NY,42.600866,-76.179127
CORVALLIS,OR,44.569949,-123.278285
COTTAGE GROVE,MN,44.813326,-92.914315
CREOLA,AL,30.874249,-88.009536
CRESSON,PA,40.462568,-78.586611
CROWLEY,LA,30.217897,-92.37484
CROYDON,PA,40.090348,-74.896679
CUBA,NY,42.218292,-78.275211
CULPEPER,VA,38.470292,-77.999764
DANIELSON,CT,41.807108,-71.884364
DANSVILLE,NY,42.562482,-77.696927
DANVILLE,IL,40.142628,-87.610707
DAWSON,GA,31.771864,-84.443499
DAYTON,NJ,40.377854,-74.507789
DAYTON,OH,39.784743,-84.199632
DAYTON,TX,30.013177,-94.936004
DE GRAFF,OH,40.312677,-83.916639
DEARBORN,MI,42.313057,-83.211488
DECATUR,IL,39.855983,-88.933746
DEL CITY,OK,35.448278,-97.440785
DELAWARE CITY,DE,39.573785,-75.594605
DELPHOS,OH,40.846581,-84.336474
DELTA,UT,39.36327,-112.543758
DEMING,NM,32.263076,-107.75249
DEMOPOLIS,AL,32.499744,-87.826678
DEVENS,MA,42.543366,-71.614028
DICKINSON,ND,46.89278,-102.79596
DILLEY,TX,28.667517,-99.176465
DILLWYN,VA,37.540511,-78.46121
DILWORTH,MN,46.878919,-96.696187
DISPUTANTA,VA,37.123551,-77.224856
DORA,AL,33.728116,-87.081292
DOTHAN,AL,31.233698,-85.406823
DOUGLAS,WY,42.754773,-105.397802
DOVER,DE,39.160602,-75.521659
DOVER,NJ,40.8856,-74.559163
DRAVOSBURG,PA,40.350648,-79.890176
DUBLIN,GA,32.535471,-82.928807
DUBUQUE,IA,42.498901,-90.707258
DULUTH,GA,34.001517,-84.150464
DUNNELLON,FL,29.059608,-82.42538
DUQUESNE,PA,40.373461,-79.850162
DYERSBURG,TN,36.046823,-89.37797
DYSART,IA,42.172071,-92.309095
EAGAN,MN,44.815217,-93.162816
EAGLE LAKE,FL,27.97427,-81.755395
EAST FAIRVIEW,ND,47.853419,-104.035893
EAST LIVERPOOL,OH,40.632996,-80.567393
EAST PEORIA,IL,40.673377,-89.541764
EAST PITTSBURGH,PA,40.396866,-79.8382
EATON,CO,40.525685,-104.712987
ECORSE,MI,42.249592,-83.140439
EDDYVILLE,KY,37.077409,-88.074945
EDEN PRAIRIE,MN,44.849595,-93.458721
EDENTON,NC,36.058565,-76.598979
EDINBURGH,IN,39.35187,-85.963755
EL DORADO,AR,33.218982,-92.664071
ELIZABETHTOWN,KY,37.704002,-85.878881
ELK CITY,OK,35.389612,-99.428749
ELKIN,NC,36.263365,-80.847106
ELKINS,WV,38.923719,-79.85426
ELWOOD,IL,41.418139,-88.11717
ELWOOD,KS,39.751505,-94.893411
EMMETT,ID,43.86923,-116.492119
EMPORIUM,PA,41.510411,-78.234035
ENCINO,NM,34.651828,-105.458577
ENTERPRISE,AL,31.325529,-85.846071
ERIE,PA,42.116594,-80.073503
EUFAULA,AL,31.909937,-85.152709
EUGENE,OR,44.056848,-123.119019
EULESS,TX,32.849366,-97.078592
EUREKA,MT,48.878942,-115.049176
EVANS,CO,40.350165,-104.748355
EVANSTON,WY,41.260088,-110.963739
EVANSVILLE,WY,42.875985,-106.26775
EVERETT,MA,42.405938,-71.054649
FAIRBANKS,AK,64.836531,-147.651745
FAIRFAX,IA,41.925493,-91.777812
FAIRFIELD,ME,44.590339,-69.605215
FAIRFIELD,OH,39.33142,-84.542716
FAIRMONT,WV,39.476877,-80.149089
FALL RIVER,MA,41.725351,-71.094162
FARGO,ND,46.8647,-96.82908
FARIBAULT,MN,44.299709,-93.278946
FEDERALSBURG,MD,38.692265,-75.772465
FERNDALE,WA,48.853366,-122.590232
FERNLEY,NV,39.56477,-119.189433
FISHERSVILLE,VA,38.102349,-78.986163
FITZGERALD,GA,31.713043,-83.252214
FLEMINGTON,NJ,40.508641,-74.859869
FLINT,MI,43.02442,-83.691971
FLORENCE,AL,34.82981,-87.662202
FLORENCE,KY,38.993405,-84.648186
FLORESVILLE,TX,29.146743,-98.165173
FOND DU LAC,WI,43.772182,-88.440264
FORDVILLE,ND,48.216592,-97.795376
FOREST GROVE,OR,45.524781,-123.10991
FOREST PARK,GA,33.620543,-84.358181
FORT LAWN,SC,34.700226,-80.899137
FORT PAYNE,AL,34.457329,-85.689447
FORT SMITH,AR,35.349276,-94.370883
FRAMINGHAM,MA,42.307905,-71.436196
FRANKLIN,LA,29.784946,-91.509567
FREEPORT,TX,28.943296,-95.35607
FREMONT,CA,37.49446,-121.94115
FREMONT,IN,41.727622,-84.938855
FREMONT,NE,41.439842,-96.487
FRESNO,CA,36.782684,-119.793359
FRIDLEY,MN,45.084246,-93.26005
FT. LAUDERDALE,FL,26.141227,-80.146731
FT. PIERCE,FL,27.426112,-80.342488
FULTON,MS,34.26288,-88.401928
GALLATIN,TN,36.381524,-86.467021
GALLUP,NM,35.513753,-108.743733
GARDEN CITY,GA,32.087221,-81.176614
GARLAND,TX,32.909826,-96.630334
GARY,IN,41.59074,-87.347113
GASCOYNE,ND,46.118954,-103.078786
GASTON,SC,33.817968,-81.099749
GATEWAY,AR,36.488902,-93.933087
GAYLORD,MI,45.018978,-84.680907
GENEVA,NY,42.863488,-76.982722
GENOA,CO,39.278218,-103.498717
GEORGETOWN,DE,38.68945,-75.387229
GERVAIS,OR,45.108038,-122.896426
GHENT,KY,38.732485,-85.063734
GIBBSTOWN,NJ,39.82454,-75.278082
GIBSLAND,LA,32.540236,-93.055298
GILLETTE,WY,44.27258,-105.498936
GIRARD,OH,41.165648,-80.696089
GLASSPORT,PA,40.325814,-79.885985
GLENCOE,AL,33.948339,-85.933606
GLOBE,AZ,33.393642,-110.741106
GLOUCESTER CITY,NJ,39.891694,-75.116692
GOLD HILL,NC,35.518597,-80.347491
GONZALES,TX,29.512549,-97.447205
GOODLAND,KS,39.348512,-101.713819
GOODMAN,MO,36.738821,-94.409167
GOOSE CREEK,SC,32.994906,-80.009245
GORDONVILLE,PA,40.021116,-76.136502
GOTHENBURG,NE,40.924676,-100.153929
GRAND ISLAND,NE,40.921352,-98.358559
GRANTSVILLE,UT,40.611347,-112.469077
GREAT BEND,KS,38.359792,-98.799514
GREAT FALLS,MT,47.502518,-111.29997
GREEN ISLE,MN,44.682858,-94.004089
GREENBUSH,MI,44.544194,-83.367418
GREENEVILLE,TN,36.168016,-82.819669
GREENSBORO,NC,36.09485,-79.823624
GREENVILLE,MS,33.383461,-91.052314
GREENVILLE,NC,35.596431,-77.375256
GREENVILLE,OH,40.104708,-84.62145
GREENWOOD,DE,38.807163,-75.589996
GREENWOOD,MS,33.51246,-90.198963
GRENADA,MS,33.781445,-89.811547
GRIFFIN,GA,33.243188,-84.271861
GUERNSEY,WY,42.264791,-104.742889
GULFPORT,MS,30.419487,-89.069022
GUNTERSVILLE,AL,34.367947,-86.252323
HAHNVILLE,LA,29.961289,-90.423964
HAINESPORT,NJ,39.977956,-74.836334
HAMDEN,OH,39.158528,-82.525504
HAMILTON CITY,CA,39.742678,-122.010946
HAMPTON,SC,32.867558,-81.109405
HANAHAN,SC,32.93096,-80.00217
HANNIBAL,OH,39.671769,-80.874105
HARRINGTON,DE,38.924126,-75.571795
HARRISONBURG,VA,38.436255,-78.873303
HARTFORD,CT,41.765933,-72.681579
HARTFORD,MI,42.204959,-86.166122
HARVEY,LA,29.888796,-90.06641
HAVERHILL,MA,42.782945,-71.087436
HAWESVILLE,KY,37.892121,-86.755526
HAYNESVILLE,LA,32.966337,-93.138141
HAYTI,MO,36.232528,-89.747362
HELPER,UT,39.689628,-110.859599
HENDERSON,KY,37.838416,-87.580971
HENDERSON,TX,32.157256,-94.795898
HERMON,ME,44.82011,-68.917328
HERNDON,PA,40.712319,-76.852612
HESPERIA,CA,34.397038,-117.315198
HEYBURN,ID,42.559982,-113.762067
HIALEAH,FL,25.869941,-80.302865
HICKMAN,KY,36.566636,-89.184029
HICKSVILLE,NY,40.764136,-73.524806
HILLSBOROUGH,NJ,40.508074,-74.65288
HOLLIDAYSBURG,PA,40.431117,-78.392958
HOLLY,MI,42.798799,-83.622967
HOMER,LA,32.793797,-93.059087
HONDO,TX,29.354242,-99.161846
HOPEDALE,MA,42.126886,-71.540295
HOPEWELL,VA,37.29101,-77.298944
HOPKINSVILLE,KY,36.839284,-87.473544
HOQUIAM,WA,46.977202,-123.909716
HOUSTON,DE,38.917349,-75.503892
HOWE,OK,34.949572,-94.640305
HUDSON,IN,41.531821,-85.084035
HUGO,MN,45.164225,-92.960105
HUGO,OK,34.011584,-95.512179
HUNTINGTON,WV,38.410651,-82.434689
HUNTSVILLE,AL,34.69772,-86.67667
INDEPENDENCE,OR,44.857805,-123.197722
IOWA,LA,30.241367,-93.013028
IOWA CITY,IA,41.655661,-91.530859
IRONDALE,OH,40.57215,-80.725708
ISLAND POND,VT,44.814026,-71.885546
IUKA,MS,34.807384,-88.19692
JACKSON,MI,42.243441,-84.404858
JACKSONVILLE,AR,34.880512,-92.13059
JAL,NM,32.114838,-103.189996
JANESVILLE,WI,42.684698,-89.01317
JEFFERSON,OH,41.738411,-80.768782
JEFFERSON CITY,MO,38.567461,-92.175254
JEFFERSON HILLS,PA,40.297236,-79.942469
JEFFERSONVILLE,OH,39.653439,-83.551562
JEROME,ID,42.718095,-114.515791
JERSEY CITY,NJ,40.711417,-74.06476
JESSUP,MD,39.149094,-76.776388
JOHNSON CITY,TN,36.342325,-82.380915
JOHNSTOWN,CO,40.307248,-104.911205
JOHNSTOWN,PA,40.326132,-78.919139
JONESBORO,GA,33.520799,-84.354701
JONESVILLE,MI,41.979437,-84.665812
JOSHUA,TX,32.459091,-97.383816
JUNCTION CITY,OR,44.21191,-123.200151
KALISPELL,MT,48.216152,-114.327645
KEARNY,NJ,40.752332,-74.123093
KEASBEY,NJ,40.514718,-74.311856
KENOSHA,WI,42.587526,-87.879996
KENOVA,WV,38.402246,-82.5821
KENVIL,NJ,40.881052,-74.61966
KEOKUK,IA,40.409546,-91.402511
KEYSVILLE,VA,37.038989,-78.480437
KINCHELOE,MI,46.268845,-84.456814
KINSTON,NC,35.275099,-77.593368
KLAMATH FALLS,OR,42.218845,-121.778718
KRUM,TX,33.265033,-97.224939
LA CROSSE,IN,41.31777,-86.889786
LA CROSSE,WI,43.824685,-91.224616
LA PORTE,TX,29.667413,-95.049139
LA SALLE,CO,40.348669,-104.706108
LACONA,NY,43.642654,-76.066066
LADSON,SC,33.009482,-80.107993
LAFAYETTE,GA,34.708848,-85.281494
LAFAYETTE,LA,30.2056,-92.028058
LAKE CHARLES,LA,30.19902,-93.210835
LAKE WALES,FL,27.920697,-81.599505
LAKEVIEW,OR,42.191438,-120.352536
LAKEVILLE,NY,42.836761,-77.703154
LANCASTER,SC,34.723916,-80.785701
LANSDALE,PA,40.241654,-75.281208
LANSFORD,ND,48.626952,-101.375891
LAREDO,TX,27.560379,-99.489181
LATTIMORE,NC,35.315388,-81.660204
LAURENS,SC,34.502686,-82.021413
LAURINBURG,NC,34.762138,-79.477378
LAWRENCE,MA,42.700273,-71.161357
LAWRENCEBURG,TN,35.249713,-87.332502
LEBANON,OR,44.530982,-122.908081
LEBANON,PA,40.341193,-76.422735
LEETSDALE,PA,40.56389,-80.216015
LEMONT,IL,41.667328,-87.984411
LENOIR CITY,TN,35.815836,-84.283015
LENOX,MA,42.361228,-73.286788
LEOLA,PA,40.092953,-76.188963
LEWISTON,ID,46.39313,-116.993472
LEWISTOWN,PA,40.597204,-77.571278
LIMON,CO,39.265074,-103.685911
LINCOLN,IL,40.150678,-89.370273
LINCOLN,NE,40.810284,-96.674856
LINDEN,NJ,40.627337,-74.23631
LISBON,OH,40.775134,-80.762771
LOCKPORT,NY,43.16946,-78.695807
LOGAN,OH,39.538372,-82.406406
LONGVIEW,WA,46.145707,-122.964299
LORAIN,OH,41.438805,-82.179722
LOS ANGELES,CA,34.019394,-118.410825
LUCEDALE,MS,30.931213,-88.595896
LUDINGTON,MI,43.957196,-86.442937
LUFKIN,TX,31.322904,-94.729026
LULA,GA,34.398088,-83.661905
LUMBERTON,NC,34.630608,-79.018601
LUVERNE,MN,43.653542,-96.214185
LYNCHBURG,VA,37.399016,-79.195458
MACEDONIA,OH,41.314919,-81.501633
MADISON,IL,38.686272,-90.101796
MANCHESTER,CT,41.77963,-72.520157
MANITOWOC,WI,44.097981,-87.678945
MANLY,IA,43.288254,-93.200815
MANSFIELD,OH,40.76672,-82.53082
MARION,IN,40.549986,-85.66042
MARION,OH,40.596746,-83.123185
MARMET,WV,38.245726,-81.575407
MARTINSBURG,PA,40.310917,-78.324286
MARTINSBURG,WV,39.457769,-77.978212
MAUGANSVILLE,MD,39.693681,-77.747151
MAYSVILLE,KY,38.650015,-83.792961
MCALESTER,OK,34.926128,-95.773619
MCDONOUGH,GA,33.442222,-84.150963
MCKEES ROCKS,PA,40.469019,-80.063328
MCKEESPORT,PA,40.341877,-79.845007
MCMINNVILLE,TN,35.686302,-85.781219
MEAD,WA,47.779527,-117.349944
MEADVILLE,PA,41.647878,-80.147438
MECHANIC FALLS,ME,44.11167,-70.394051
MEDFORD,NY,40.821979,-72.985918
MEDICAL LAKE,WA,47.571039,-117.68945
MEDINA,NY,43.219742,-78.387874
MENASHA,WI,44.212338,-88.427357
MENOMINEE,MI,45.122088,-87.623573
MERCED,CA,37.305721,-120.477907
MICHIGAN CITY,IN,41.708776,-86.866875
MIDDLESEX,NC,35.789383,-78.204811
MIDDLESEX,VT,44.318999,-72.631949
MIDDLETOWN,CT,41.548611,-72.656784
MIDDLETOWN,NY,41.444922,-74.423573
MIDLAND,MI,43.624796,-84.231984
MIDLAND,NC,35.249167,-80.530075
MIDLOTHIAN,TX,32.469436,-96.99067
MILAN,TN,35.91203,-88.753963
MILFORD,DE,38.909787,-75.422301
MILFORD,OH,39.165209,-84.284784
MILLERS,NC,35.831611,-81.110354
MILLVILLE,NJ,39.390093,-75.054797
MILTON,DE,38.775145,-75.309908
MILTON,PA,41.002297,-76.851007
MILTON,VT,44.630376,-73.12244
MILWAUKEE,WI,43.063348,-87.966695
MILWAUKIE,OR,45.444835,-122.620848
MINCO,OK,35.315621,-97.951407
MINDEN,LA,32.619146,-93.272754
MINOT,ND,48.236125,-101.277533
MOGADORE,OH,41.05246,-81.407317
MONACA,PA,40.683423,-80.273427
MONCKS CORNER,SC,33.199763,-79.986603
MONROE,LA,32.518986,-92.07718
MONROE,MI,41.916586,-83.384324
MONROE TOWNSHIP,NJ,39.660224,-74.969195
MONSON,MA,42.093596,-72.321494
MONTEVIDEO,MN,44.950165,-95.715382
MONTGOMERY,IL,41.721025,-88.35811
MONTROSE,MO,38.258645,-93.982434
MONTVILLE,CT,41.4639,-72.15557
MOOREFIELD,WV,39.067419,-78.962411
MOREHEAD CITY,NC,34.727891,-76.739088
MORGAN CITY,LA,29.710332,-91.191542
MORRISTOWN,NJ,40.796562,-74.477318
MOUND CITY,IL,37.085676,-89.163005
MOUNDS,IL,37.116193,-89.202885
MOUNDSVILLE,WV,39.922132,-80.742115
MOUNDVILLE,AL,32.996542,-87.627545
MOUNT PLEASANT (EAST HUNTINGDON TWP),PA,40.150932,-79.543363
MOUNT VERNON,IN,37.936988,-87.895861
MT GILEAD,NC,35.216362,-80.005007
MT HOLLY SPRINGS,PA,40.109283,-77.182874
MT. HOPE,WV,37.896871,-81.172127
MT. JOY,PA,40.110613,-76.50572
MT. MORRIS,NY,42.723695,-77.875207
MUSCATINE,IA,41.419058,-91.067946
MUSKEGON,MI,43.22654,-86.257247
MUSKEGON HEIGHTS,MI,43.201921,-86.240963
MUSKOGEE,OK,35.743797,-95.356405
NAPERVILLE,IL,41.749173,-88.162019
NAPLES,IL,39.753456,-90.606908
NAPOLEON,OH,41.397969,-84.124984
NASHUA,NH,42.749074,-71.490544
NATCHEZ,MS,31.542438,-91.385649
NAVARRE,OH,40.727715,-81.515812
NEENAH,WI,44.164925,-88.479628
NENANA,AK,64.536054,-149.083629
NEPHI,UT,39.704697,-111.83335
NEW ATHENS,IL,38.318935,-89.873618
NEW AUBURN,WI,45.198779,-91.566342
NEW BEDFORD,MA,41.661303,-70.937913
NEW BOSTON,TX,33.46111,-94.419096
NEW BRIGHTON,MN,45.067226,-93.205779
NEW CASTLE,DE,39.670017,-75.566519
NEW CHURCH,VA,37.983247,-75.529065
NEW HAMPTON,IA,43.056219,-92.314725
NEW HAVEN,CT,41.310809,-72.924953
NEW HOLLAND,PA,40.101294,-76.090147
NEW HOPE,MN,45.035943,-93.386886
NEW JOHNSONVILLE,TN,36.016466,-87.969457
NEW KENSINGTON,PA,40.572482,-79.753051
NEW LONDON,CT,41.332957,-72.096176
NEW MADRID,MO,36.586409,-89.551222
NEW MARTINSVILLE,WV,39.645553,-80.86267
NEW RICHMOND,WI,45.124977,-92.547938
NEW TOWN,ND,47.989075,-102.488305
NEWARK,DE,39.677649,-75.757479
NEWARK,NY,43.042009,-77.094024
NEWARK,OH,40.071503,-82.424221
NEWBERRY,FL,29.645825,-82.594604
NEWINGTON,NH,43.085924,-70.827443
NEWNAN,GA,33.375833,-84.777324
NEWPORT,MN,44.874399,-92.998647
NEWPORT NEWS,VA,37.076136,-76.52198
NEWTOWN,CT,41.411897,-73.31195
NEWTOWN,PA,40.228344,-74.932293
NORCROSS,GA,33.937394,-84.205634
NORFOLK,NY,44.788637,-74.988027
NORFOLK,VA,36.923015,-76.244641
NORTH BEND,OH,39.149181,-84.735332
NORTH BEND,OR,43.407163,-124.234483
NORTH BRUNSWICK,NJ,40.450392,-74.479416
NORTH FORT MYERS,FL,26.717956,-81.845811
NORTH KINGSTOWN,RI,41.571527,-71.449907
NORTH WALPOLE,NH,43.146935,-72.446559
OAKBORO,NC,35.228471,-80.334202
OCALA,FL,29.17751,-82.151025
ODEM,TX,27.946241,-97.587518
OHATCHEE,AL,33.789759,-86.029062
OILDALE,CA,35.42926,-119.030576
OLEAN,NY,42.083943,-78.435119
OLYMPIA,WA,47.040604,-122.895
ORANGE,TX,30.123528,-93.754548
ORANGE,VA,38.247845,-78.113187
ORANGEBURG,SC,33.493596,-80.86688
OSSIPEE,NH,43.737249,-71.150349
OTTAWA,IL,41.354046,-88.823408
OTTUMWA,IA,41.022251,-92.423263
OWEGO,NY,42.10456,-76.262227
OWENSBORO,KY,37.757172,-87.117398
OWOSSO,MI,42.995252,-84.175845
OXFORD,MA,42.115881,-71.870094
OXFORD,PA,39.785561,-75.979652
OXNARD,CA,34.199436,-119.207515
PADUCAH,KY,37.070892,-88.644477
PAINESVILLE,OH,41.721635,-81.258357
PALERMO,ND,48.338395,-102.228928
PALMETTO,FL,27.52505,-82.574964
PARIS,KY,38.200157,-84.272689
PARK CITY,MT,45.630946,-108.925311
PARK HILLS,MO,37.816979,-90.499893
PASCAGOULA,MS,30.360067,-88.556327
PAULSBORO,NJ,39.839975,-75.23996
PENFIELD,PA,41.215504,-78.573379
PENNINGTON,AL,32.200612,-88.037572
PENNSAUKEN,NJ,39.968368,-75.057851
PENSACOLA,FL,30.440989,-87.191242
PERTH AMBOY,NJ,40.52016,-74.271331
PETALUMA,CA,38.242251,-122.628769
PICKENSVILLE,AL,33.235782,-88.289443
PINEVILLE,LA,31.342926,-92.40893
PINEVILLE,NC,35.093703,-80.893517
PINGREE,ND,47.163823,-98.908563
PISCATAWAY,NJ,40.545539,-74.46072
PLAINFIELD,CT,41.693613,-71.900776
PLAINVIEW,TX,34.191119,-101.723501
PLAQUEMINE,LA,30.283156,-91.243812
PLAZA,ND,48.026289,-101.958725
PLEASANT GAP,PA,40.867277,-77.744137
PLOVER,WI,44.46202,-89.537971
PLYMOUTH,WI,43.745274,-87.965322
POCATELLO,ID,42.872748,-112.463836
POMONA,CA,34.058494,-117.761091
POND CREEK,OK,36.667836,-97.802391
POPLAR,MT,48.110482,-105.196887
PORT ALLEGANY,PA,41.815197,-78.276469
PORT ALLEN,LA,30.443835,-91.20741
PORT ARTHUR,TX,29.900008,-93.89442
PORT HUENEME,CA,34.162143,-119.204177
PORT MURRAY,NJ,40.792825,-74.927156
PORT READING,NJ,40.567422,-74.244933
PORT WENTWORTH,GA,32.192015,-81.205725
PORTAGE,IN,41.591612,-87.178939
PORTLAND,ME,43.633157,-70.185305
PORTSMOUTH,NH,43.060594,-70.780349
PRAIRIE DU CHIEN,WI,43.041618,-91.135408
PRICHARD,AL,30.773337,-88.131416
PRINCETON,KY,37.106477,-87.884902
PROVIDENCE,RI,41.823056,-71.418784
PULASKI,TN,35.193299,-87.033583
PURDY,MO,36.818772,-93.920574
PUYALLUP,WA,47.179046,-122.291523
